velx,vely,velz,accx,accy,accz
2.339421,0.018363,0.564641,0.904668,0.007101,0.218350
2.386444,0.018732,0.575990,0.941401,0.007389,0.227216
2.446704,0.019205,0.590535,1.484072,0.011649,0.358194
2.495636,0.019589,0.602345,0.514811,0.004041,0.124254
2.520592,0.019785,0.608368,0.525159,0.004122,0.126752
2.545798,0.019983,0.614452,0.535714,0.004205,0.129300
2.545798,0.019983,0.614452,-0.535714,-0.004205,-0.129300
2.520592,0.019785,0.608368,-0.525159,-0.004122,-0.126752
2.495636,0.019589,0.602345,-0.514811,-0.004041,-0.124254
2.446704,0.019205,0.590535,-1.484072,-0.011649,-0.358194
2.386444,0.018732,0.575990,-0.941401,-0.007389,-0.227216
2.339421,0.018363,0.564641,-0.904668,-0.007101,-0.218350
2.293325,0.018001,0.553515,-0.869368,-0.006824,-0.209830
2.248138,0.017646,0.542609,-0.835446,-0.006558,-0.201643
2.203841,0.017299,0.531917,-0.802847,-0.006302,-0.193775
2.160416,0.016958,0.521436,-0.771520,-0.006056,-0.186214
2.117847,0.016624,0.511162,-0.741416,-0.005820,-0.178948
2.065942,0.016216,0.498634,-1.058104,-0.008305,-0.255383
2.005183,0.015739,0.483969,-0.996781,-0.007824,-0.240582
1.946211,0.015276,0.469736,-0.939013,-0.007371,-0.226640
